Designator,Mid X,Mid Y,Rotation,Layer
C5,183.5,-134.025,90.0,top
C6,192.25,-121.025,90.0,top
C7,190.5,-121.0,90.0,top
C8,186.75,-123.25,270.0,top
C9,188.0,-120.0,270.0,top
FID1,176.5,-101.5,0.0,top
FID2,176.5,-148.5,0.0,top
J1,198.295,-139.315,0.0,top
J2,187.56,-148.25,270.0,bottom
J3,198.25,-125.94,0.0,top
J6,187.31,-108.89,180.0,top
R28,186.25,-127.5,180.0,top
R29,192.25,-124.25,90.0,top
R30,190.5,-124.25,90.0,top
U1,187.5,-134.0,90.0,top
